#Rank,University,Town
197,Periyar University,Salem
198,PES University,Bangalore
199,Jaipur National University,Jaipur
200,Symbiosis International University,Pune
201,PEC University of Technology,Chandigarh
202,Kumaun University,Nainital
203,Rajiv Gandhi University of Health Sciences,Bangalore
204,Ambedkar University Delhi,New Delhi
205,Pandit Ravishankar Shukla University,Raipur
206,Hemwati Nandan Bahuguna Garhwal University,Srinagar
207,Punjab Agricultural University,Ludhiana ...
208,Medi-Caps University,Indore
209,Veer Surendra Sai University of Technology,Sambalpur
210,Babasaheb Bhimrao Ambedkar University,Lucknow
211,Sri Venkateswara University,Tirupati
212,Tamil Nadu Dr. M.G.R.Medical University,Chennai
213,Mangalore University,Mangalore
214,Orissa University of Agriculture and Technology,Bhubaneswar
215,All India Institute of Medical Sciences Jodhpur,Jodhpur
216,Maulana Azad National Urdu University,Hyderabad
217,Goa University,Taleigao
218,Kakatiya University,Warangal ...
219,Central University of Rajasthan,Ajmer
220,Maharshi Dayanand Saraswati University,Ajmer
221,Assam Agricultural University,Jorhat
222,Rani Durgavati Vishwavidyalaya,Jabalpur
223,King George's Medical University,Lucknow
224,Gandhigram Rural University,Gandhigram
225,University of North Bengal,Siliguri
226,Gulbarga University,Gulbarga
227,Jain University,Bangalore
228,Jaypee Institute of Information Technology,Noida
229,Pandit Deendayal Petroleum University,Gandhinagar
230,"Indian Institute of Science Education and Research, Mohali",Mohali
231,Dr. Babasaheb Ambedkar Marathwada University,Aurangabad
232,Sikkim Manipal University,Gangtok
233,Central University of Punjab,Bathinda
234,Magadh University,Bodh Gaya
235,Anand Agricultural University,Anand
236,Rajasthan University of Health Sciences,Jaipur
237,Madan Mohan Malaviya University of Technology,Gorakhpur
238,Guru Ghasidas Vishwavidyalaya,Bilaspur
239,University of Kota,Kota
240,Sree Chitra Thirunal Institute of Medical Sciences and Technology,Thiruvananthapuram
241,Guru Jambheshwar University of Science and Technology,Hisar
242,Shri Mata Vaishno Devi University,Katra
243,University of Jammu,Jammu
244,The West Bengal National University of Juridical Sciences,Kolkata
245,Sanjay Gandhi Post Graduate Institute of Medical Sciences,Lucknow
246,Sathyabama Institute of Science and Technology,Chennai
247,Biju Patnaik University of Technology,Rourkela ...
248,Deenbandhu Chhotu Ram University of Science and Technology,Murthal
249,"PDPM Indian Institute of Information Technology, Design and Manufacturing",Jabalpur
250,"National Institute of Technology, Agartala",Agartala
251,DIT University,Dehradun
252,Gujarat National Law University,Gandhinagar
253,Tripura University,Agartala
254,Indian Veterinary Research Institute,Bareilly ...
255,Dr. Hari Singh Gour University,Sagar
256,Azim Premji University,Bangalore
257,"Jawaharlal Nehru Technological University, Anantapur",Anantapur
258,The Northcap University,Gurgaon ...
259,Maharaja Krishnakumarsinhji Bhavnagar University,Bhavnagar
260,West Bengal State University,Barasat
261,"Maharishi Markandeshwar University, Mullana",Mullana ...
262,Mizoram University,Aizawl
263,Indian Institute of Information Technology and Management Gwalior,Gwalior
264,Karnatak University,Dharwad
265,NIIT University,Neemrana
266,Pt. Bhagwat Dayal Sharma University of Health Sciences,Rohtak
267,Assam University,Silchar
268,Nizam's Institute of Medical Sciences,Hyderabad
